罪案 Crime,西區,東區,2020總計,西區,東區,2021總計
,Western,Eastern,TOTAL,Western,Eastern,TOTAL
嚴重毒品罪行 SERIOUS DRUG OFFENCES,,,,,,
36  製煉毒品 Manufacturing of Dangerous Drugs,-,1,1,-,-,1
37  販運毒品 Trafficking in Dangerous Drugs,12,23,73,21,30,85
38  藏有毒品 Possession of Dangerous Drugs,22,11,83,25,29,116
39  其他嚴重毒品罪行 Other Serious Drug Offences,-,-,-,-,-,-
違背合法權力的罪行 OFFENCES AGAINST LAWFUL AUTHORITY,,,,,,
40  誤導/提供虛假消息予警方 Misleading/Giving False Information to Police,2,3,21,2,8,22
41  發假誓 Perjury,-,-,1,-,1,1
42  拒捕 Resisting Arrest,7,9,48,8,8,30
43  逃走及非法劫回 Escape and Rescue,-,1,3,-,-,2
44  其他違背合法權力的罪行 Other Offences Against Lawful Authority,2,2,11,1,7,14
嚴重非法入境罪行 SERIOUS IMMIGRATION OFFENCES,,,,,,
45  協助及教唆非法入境者 Aiding and Abetting of Illegal Immigrants,-,1,2,1,2,4
46  使用屬於他人的身份證 Using Identity Card Relating to Another,11,4,35,2,9,18
47  其他嚴重入境罪行 Other Serious Immigration Offences,16,13,47,11,32,60
雜項罪案 MISCELLANEOUS CRIMES,,,,,,
48  刑事毀壞 Criminal Damage,220,347,820,106,150,488
49  其他侵犯人身的罪行 Other Offences Against Person,-,3,8,1,2,7
50  在公眾地方行為不檢/打鬥 Disorder/Fighting in Public Place,29,42,152,33,37,133
51  妨礙公安罪行 Offences Against Public Order,2,7,109,2,-,20
52  非法會社罪行 Unlawful Society Offences,10,9,29,9,3,16
53  借貸 Money Lending,7,-,8,-,4,8
54  嚴重賭博罪行 Serious Gambling Offences,23,19,68,23,27,67
55  串謀 Conspiracy,37,4,120,56,11,125
56  高空墮物 Object Dropped from Buildings,28,30,91,8,43,91
57  其他罪案 Other Crime,20,109,927,23,89,391
其他罪案總計 TOTAL OTHER CRIME  ( 17 - 57 ),1 834,2 801,9 558,1 622,2 505,8 313
防範性罪案 PREVENTIVE CRIME,,,,,,
58  藏有槍械及彈藥 Possession of Arms and Ammunition,3,2,8,3,3,7
59  藏有攻擊性武器 Possession of Offensive Weapon,17,20,81,16,20,61
60  身懷盜竊工具 Going Equipped for Stealing,1,-,4,-,4,11
61  藏有非法工具 Possession of Unlawful Instrument,2,2,43,1,3,5
62  干擾車輛 Tampering with Vehicle,-,1,1,-,-,1
63  非法典當罪行 Unlawful Pawning Offences,-,-,2,-,-,-
64  遊蕩 Loitering,16,8,41,8,10,34
防範性罪案總計 TOTAL PREVENTIVE CRIME ( 58 - 64 ),39,33,180,28,40,119
65 危害國家安全/損害國家尊嚴罪行 Offences Against National Security and Dignity,-,1,18,1,2,17
危害國家安全/損害國家尊嚴罪行,,,,,,
,-,1,18,1,2,17
OFFENCES AGAINST NATIONAL SECURITY AND DIGNITY ( 65 ),,,,,,
合計 GRAND TOTAL,2 185,3 252,11 065,1 905,2 893,9 683
