罪案 Crime,2020,2021
嚴重毒品罪行 SERIOUS DRUG OFFENCES,,
36  製煉毒品 Manufacturing of Dangerous Drugs,20,31
37  販運毒品 Trafficking in Dangerous Drugs,624,861
38  藏有毒品 Possession of Dangerous Drugs,501,676
39  其他嚴重毒品罪行 Other Serious Drug Offences,4,2
違背合法權力的罪行 OFFENCES AGAINST LAWFUL AUTHORITY,,
40  誤導/提供虛假消息予警方 Misleading/Giving False Information to Police,150,168
41  發假誓 Perjury,6,6
42  拒捕 Resisting Arrest,271,187
43  逃走及非法劫回 Escape and Rescue,6,5
44  其他違背合法權力的罪行 Other Offences Against Lawful Authority,62,66
嚴重非法入境罪行 SERIOUS IMMIGRATION OFFENCES,,
45  協助及教唆非法入境者 Aiding and Abetting of Illegal Immigrants,49,55
46  使用屬於他人的身份證 Using Identity Card Relating to Another,173,162
47  其他嚴重入境罪行 Other Serious Immigration Offences,193,260
雜項罪案 MISCELLANEOUS CRIMES,,
48  刑事毀壞 Criminal Damage,432,709
49  其他侵犯人身的罪行 Other Offences Against Person,72,78
50  在公眾地方行為不檢/打鬥 Disorder/Fighting in Public Place,931,891
51  妨礙公安罪行 Offences Against Public Order,273,65
52  非法會社罪行 Unlawful Society Offences,180,167
53  借貸 Money Lending,32,77
54  嚴重賭博罪行 Serious Gambling Offences,390,560
55  串謀 Conspiracy,375,302
56  高空墮物 Object Dropped from Buildings,515,540
57  其他罪案 Other Crime,1811,1145
其他罪案總計 TOTAL OTHER CRIME  ( 17 - 57 ),52644,53841
防範性罪案 PREVENTIVE CRIME,,
58  藏有槍械及彈藥 Possession of Arms and Ammunition,80,83
59  藏有攻擊性武器 Possession of Offensive Weapon,591,501
60  身懷盜竊工具 Going Equipped for Stealing,79,76
61  藏有非法工具 Possession of Unlawful Instrument,173,45
62  干擾車輛 Tampering with Vehicle,17,13
63  非法典當罪行 Unlawful Pawning Offences,2,1
64  遊蕩 Loitering,223,247
防範性罪案總計 TOTAL PREVENTIVE CRIME ( 58 - 64 ),1165,966
65 危害國家安全/損害國家尊嚴罪行 Offences Against National Security and Dignity,32,34
危害國家安全/損害國家尊嚴罪行OFFENCES AGAINST NATIONAL SECURITY AND DIGNITY ( 65 ),32,34
合計 GRAND TOTAL,63232,64428
