,,A,B,C,D,E
"類 別  Class",,40 平方米以下,40 至 69.9 平方米,70 至 99.9 平方米,100 至 159.9 平方米,160 平方米或以上
,,Less than 40 m,40 m  to 69.9 m,70 m  to 99.9 m,100 m  to 159.9 m,160 m  or above
,,港島,港島,港島,港島,港島
"年 "," 月",Hong,Hong,Hong,Hong,Hong
"Year ",Month,Kong,Kong,Kong,Kong,Kong
"2022 ",7 - 9,166 816,169 382,207 658,229 109,252 281
,10 - 12,151 923,155 746,187 090,218 614,269 184
"2023 ",1 - 3,156 649,163 752,196 126,225 373,286 092
,4 - 6,159 309,164 913,193 407,231 635,257 774
,7 - 9,150 245,153 419,200 053,203 673,259 413
"2022 ",10,157 131,160 996,201 317,200 180,324 823
,11,151 119,159 903,187 274,222 309,224 838
,12,148 135,149 122,175 042,234 405,190 957
"2023 ",1,152 558,156 684,197 219,230 883,349 346
,2,155 401,165 330,187 173,221 425,276 830
,3,159 963,168 071,202 866,224 248,230 555
,4,158 520,167 660,194 444,247 285,243 851
,5,164 305,163 626,198 502,242 366,237 326
,6,153 496,163 097,183 442,211 365,276 700
,7,149 803,153 713,181 501,204 097,281 514
,8,148 986,151 297,210 809,194 803,255 227
,9,152 866,155 691,210 025,214 593,250 456
,10,140 664,157 889,178 125,171 662,234 552
