web-scraper-order,001,002,003,004,005,006,007
1703924006-2371,殷樺花園 第一期 低層 C室,羅便臣道95號,"1,590 萬",854,"$18,618/呎",西半山,"分層單位
              大廈"
1703924004-2370,楓林花園 2 期 低層 A室,建華街39號,830 萬,608,"$13,647/呎",北角,"分層單位
              大廈"
1703924003-2369,康景花園 D座 低層 3室,康柏徑10號,860 萬,695,"$12,374/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703924000-2368,富豪閣 4座 高層 A室,雲景道56號,900 萬,538,"$16,728/呎",北角半山,"分層單位
              大廈
              有寵屋苑"
1703923999-2367,太古城 海天花園 啟天閣 (55座) 中層 H室,太古灣道17號,"1,550 萬",759,"$20,421/呎",太古城,"分層單位
              大廈"
1703923996-2366,精緻園 低層 A室,巴丙頓道18號,"3,400 萬","1,465","$23,208/呎",西半山,"分層單位
              大廈"
1703923994-2365,君豪峰 中層 A室,英皇道856號,468 萬,234,"$20,000/呎",康怡 | 鰂魚涌,"分層單位
              大廈
              有寵屋苑"
1703923991-2364,和富中心 12A座 高層 A室,和富道45號,"1,780 萬",840,"$21,190/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703923990-2363,雍景臺 2座 低層 A室,羅便臣道70號,"2,550 萬","1,128","$22,606/呎",西半山,"分層單位
              大廈"
1703923987-2362,華庭閣 中層 D室,干德道49號,"1,630 萬",805,"$20,248/呎",西半山,"分層單位
              大廈"
1703923985-2361,蔚晴軒 中層 D室,英輝台3號,"1,000 萬",449,"$22,271/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703923984-2360,康怡花園 C座 (9-16室) 中層 10室,康盛街21-23號,800 萬,505,"$15,841/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703923981-2359,維港峰 低層 D室,干諾道西180號,"3,600 萬","1,185","$30,379/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703923979-2358,景暉閣 高層 A室,天后廟道19-21號,800 萬,400,"$20,000/呎",北角半山,"分層單位
              大廈"
1703923977-2357,君悅軒 高層 D室,西灣河街8號,"1,100 萬",473,"$23,255/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703923975-2356,康怡花園 F座 (1-8室) 中層 4室,康盛街9-11號,840 萬,596,"$14,093/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703923973-2355,寶恆閣 高層 A室,般咸道52號,"1,300 萬",555,"$23,423/呎",西半山,"分層單位
              大廈
              天台"
1703923970-2354,雲景台 E-F座 低層 E室,雲景道38號,"2,800 萬","1,065","$26,291/呎",北角半山,"分層單位
              大廈
              車位"
1703923968-2353,富景花園 2座 高層 C室,干德道58A-58B號,"1,450 萬",594,"$24,410/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703923966-2352,愛都大廈 1座 高層 A室,花園道55號,1.02 億,"2,888","$35,318/呎",中半山,"分層單位
              大廈
              有寵屋苑
              露台
              車位"
1703923964-2351,形薈 1B座 低層 E室,筲箕灣道393號,660 萬,360,"$18,333/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703923962-2350,富雅花園 5座 (金桂閣) 高層 F室,繼園臺5-6號,728 萬,459,"$15,860/呎",北角,"分層單位
              大廈"
1703923960-2349,香苑大廈 中層 B室,柴灣道29號,510 萬,385,"$13,246/呎",筲箕灣 | 柴灣,"分層單位
              大廈"
1703923958-2348,羅便臣道80號 1座 低層 B室,羅便臣道80號,"3,500 萬","1,042","$33,589/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703923956-2347,康福園 B座 低層 A室,英皇道58號,"1,180 萬",992,"$11,895/呎",北角,"分層單位
              大廈"
1703923954-2346,康景花園 A座 中層 2室,康柏徑10號,"1,200 萬",846,"$14,184/呎",康怡 | 鰂魚涌,"分層單位
              大廈
              露台"
1703923951-2345,尚賢居 高層 A室,士丹頓街72號,"2,600 萬",779,"$33,376/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703923949-2344,The Icon 中層 C室,干德道38號,"1,350 萬",513,"$26,315/呎",西半山,"分層單位
              大廈"
1703923946-2343,金徽閣 中層 A室,干德道45號,"3,400 萬","1,640","$20,731/呎",西半山,"分層單位
              大廈
              車位"
1703923941-2342,杏花邨 10座 中層 3室,盛泰道100號,650 萬,454,"$14,317/呎",杏花邨,"分層單位
              大廈"
1703923939-2341,澤安閣 高層 B室,堅彌地城海旁6-8號,718 萬,368,"$19,510/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
