學校英文名稱,學校中文名稱,就讀學生性別,學校級別,資助種類,學校地址,學校所在分區,學校授課時間
YING WA GIRLS' SCHOOL,英華女學校,女,中學,資助,香港卑利士道二號,中西區,全日
YING WA GIRLS' SCHOOL,英華女學校,女,中學,資助,香港中環羅便臣道７６號,中西區,全日
ST STEPHEN'S GIRLS' COLLEGE,聖士提反女子中學,女,中學,資助,香港列堤頓道２號,中西區,全日
ST STEPHEN'S CHURCH COLLEGE,聖士提反堂中學,男女,中學,資助,香港般咸道７１號,中西區,全日
ST STEPHEN'S CHURCH COLLEGE,聖士提反堂中學,男女,中學,資助,香港薄扶林道６２號,中西區,全日
ST PAUL'S COLLEGE,聖保羅書院,男,中學,直接資助計劃,香港般咸道６７－６９號,中西區,全日
ST PAUL'S CO-EDUCATIONAL COLLEGE,聖保羅男女中學,男女,中學,直接資助計劃,香港中環麥當勞道３３號及麥當勞道３５號威豪閣附翼校舍,中西區,全日
ST LOUIS SCHOOL,聖類斯中學,男,中學,資助,香港第三街１７９號,中西區,全日
ST JOSEPH'S COLLEGE,聖若瑟書院,男,中學,資助,香港中環堅尼地道７號,中西區,全日
ST CLARE'S GIRLS' SCHOOL,聖嘉勒女書院,女,中學,資助,香港摩星嶺道５０號,中西區,全日
RAIMONDI COLLEGE,高主教書院,男女,中學,資助,,中西區,全日
RAIMONDI COLLEGE,高主教書院,男女,中學,資助,香港半山羅便臣道二號,中西區,全日
LOK SIN TONG LEUNG KAU KUI COLLEGE,樂善堂梁銶琚書院,男女,中學,資助,香港西營盤醫院道２８號,中西區,全日
KING'S COLLEGE,英皇書院,男,中學,官立,香港西環般咸道６３號Ａ,中西區,全日
ISLAND WALDORF SCHOOL,香島華德福學校,男女,中學,私立,香港皇后大道西４５５—４８５號龍暉花園地下 ２號舖及１樓全層,中西區,全日
ISLAND SCHOOL,,男女,中學,英基學校協會,香港波老道２０號,中西區,全日
HONG KONG RED CROSS HOSPITAL SCHOOLS,香港紅十字會醫院學校,男女,中學,資助,香港西營盤醫院道３０號４樓贊育醫院兒童及 青少年精神科日間中心,中西區,全日
GERMAN SWISS INTERNATIONAL SCHOOL,德瑞國際學校,男女,中學,私立,香港山頂僑福道１１及２２號,中西區,全日
YMCA CHRISTIAN ACADEMY,,男女,小學,私立,香港必列者士街７０號,中西區,全日
ST. LOUIS SCHOOL (PRIMARY SECTION),聖類斯中學（小學部）,男,小學,私立,香港第三街１７９號 Ｃ座,中西區,全日
ST STEPHEN'S GIRLS' PRIMARY SCHOOL,聖士提反女子中學附屬小學,女,小學,資助,香港柏道三十三號,中西區,全日
ST CLARE'S PRIMARY SCHOOL,聖嘉勒小學,女,小學,私立,香港般咸道光景台３－６號,中西區,全日
ST CHARLES SCHOOL,聖嘉祿學校,男女,小學,資助,香港堅尼地城蒲飛路２５號,中西區,全日
ST ANTHONY'S SCHOOL,聖安多尼學校,男女,小學,資助,香港薄扶林道６９號Ａ,中西區,全日
SKH ST PETER'S PRIMARY SCHOOL,聖公會聖彼得小學,男女,小學,資助,香港山道７０及８８號,中西區,全日
