港島巴士	Start		End	
2	西灣河（嘉亨灣）	⇄	中環（港澳碼頭）	
2A	耀東邨	⇄	會展站	
2X	西灣河（嘉亨灣）	⇄	會展站	
5X	堅尼地城	⇄	銅鑼灣（威非路道）	
8	杏花邨	⇄	會展站	
8H	小西灣（藍灣半島）	⇄	銅鑼灣（東華東院）	
8P	小西灣（藍灣半島）	⇄	會展站	
8X	小西灣（藍灣半島）	⇄	跑馬地（上），大坑道	
9	筲箕灣	⇄	石澳	
10	堅尼地城	⇄	北角碼頭	
14	西灣河（嘉亨灣）	⇄	赤柱炮台（閘口）	部份時段途經赤柱廣場（馬坑）
18	北角（健康中街）	⇄	堅尼地城（卑路乍灣）	平日早上班次以上環為終點站
18P	堅尼地城（卑路乍灣）	⇄	北角（健康中街）	只限平日上午繁忙時間服務
18X	筲箕灣	⇄	堅尼地城（卑路乍灣）	
19P	筲箕灣	→	跑馬地（上），大坑道	只限平日上午繁忙時間服務
23	蒲飛路	⇄	北角碼頭	
23B	寶馬山	→	羅便臣道	只限平日繁忙時間服務
23B	寶馬山	←	柏道	只限平日繁忙時間服務
23X	蒲飛路	→	西灣河（太康街）	只限平日上午繁忙時間服務
25	中環3號碼頭	↺	寶馬山	
25A	會展站	↺	寶馬山	
26	勵德邨	↺	荷李活道	
27	北角碼頭	↺	寶馬山	
33X	數碼港	→	西灣河（太康街）	只限平日繁忙時間服務
33X	數碼港	←	西灣河（嘉亨灣）	只限平日繁忙時間服務
38	置富花園	⇄	北角碼頭	平日早上繁忙時間不經華富邨
41A	華富（中）	⇄	北角碼頭	
42	華富（南）	⇄	北角碼頭	只限平日上午繁忙時間服務
42C	北角碼頭	⇄	數碼港	只限平日繁忙時間服務
49X	小西灣（藍灣半島）	→	數碼港	只限平日上午繁忙時間服務
63	北角碼頭	⇄	赤柱監獄	星期日及公眾假期停止服務
65	北角碼頭	⇄	赤柱市集	只限星期日及公眾假期服務
77	田灣	⇄	筲箕灣	
77A	筲箕灣	→	田灣	只限平日下午繁忙時間服務
77X	華貴	→	西灣河（太康街）	只限平日上午繁忙時間服務
81	興華邨	⇄	勵德邨	
81A	興華邨	⇄	勵德邨	只限平日繁忙時間服務
82	小西灣（藍灣半島）	⇄	北角碼頭	
82S	小西灣（藍灣半島）	→	耀東（惠亨街）	只限平日上午繁忙時間服務
82S	耀東（惠亨街）	←	筲箕灣廣場	只限平日上午繁忙時間服務
82X	小西灣（藍灣半島）	↺	北角（民康街）	
85	小西灣（藍灣半島）	↺	寶馬山	每日2210後班次以北角碼頭為起/終點站
85A	筲箕灣	→	寶馬山	只限平日繁忙時間服務
85A	寶馬山	←	北角碼頭	只限平日繁忙時間服務
85P	小西灣（藍灣半島）	⇄	寶馬山	只限平日繁忙時間服務
88X	小西灣（藍灣半島）	⇄	堅尼地城（卑路乍灣）	只限平日繁忙時間服務
99	海怡半島	⇄	筲箕灣	
99X	海怡半島	→	西灣河（太康街）	只限平日上午繁忙時間服務
720	西灣河（嘉亨灣）	⇄	中環（港澳碼頭）	
720A	西灣河（嘉亨灣）	→	中環（畢打街）	只限平日上午繁忙時間服務，早上08:00前的班次以金鐘（海富中心）為終點站
720P	太古城	↺	中環（干諾道中）	只限平日上午繁忙時間服務
720X	西灣河（嘉亨灣）	→	中環（林士街）	只限平日上午繁忙時間服務
722	耀東邨	↺	中環碼頭	
780	柴灣（東）	⇄	中環碼頭	
780P	興華邨	→	中環碼頭	只限平日上午繁忙時間服務
788	小西灣（藍灣半島）	⇄	中環（港澳碼頭）	
789	小西灣（藍灣半島）	⇄	金鐘（樂禮街）	
N8	會展站	↺	杏花邨（創富道）	通宵服務
N8P	小西灣（藍灣半島）	↺	灣仔（港灣道）	通宵服務
N8X	小西灣（藍灣半島）	⇄	堅尼地城	通宵服務
