專營巴士路線列表				
港島巴士				
1	摩星嶺	⇄	跑馬地（上）	
1P	黃泥涌道（樂活道）	→	中環街市	只限平日上午繁忙時間服務
2	西灣河（嘉亨灣）	⇄	中環（港澳碼頭）	
3A	中環（天星碼頭）	⇄	摩星嶺	只限平日繁忙時間服務
4	黃竹坑（南朗山）	⇄	中環（交易廣場）	
4X	華富（南）	↺	中環（交易廣場）	星期日及公眾假期停止服務
5B	堅尼地城	⇄	銅鑼灣／香港大球場	
5X	堅尼地城	⇄	銅鑼灣（威非路道）	
6	中環（交易廣場）	⇄	赤柱監獄	晚間開出班次會繞經舂磡角及馬坑
6A	中環（交易廣場）	→	赤柱炮台（閘口）	只限平日上午繁忙時間服務
6X	中環（交易廣場）	⇄	赤柱監獄	
7	石排灣	⇄	中環碼頭	
10	堅尼地城	⇄	北角碼頭	
11	中環碼頭	↺	渣甸山	
12	中環3號碼頭	↺	羅便臣道	星期一至五上午09:00前的班次不經金鐘（添馬街）、柏道及干諾道中
12A	金鐘（添馬街）	↺	麥當勞道	
12M	金鐘（添馬街）	↺	柏道	只限平日上午繁忙時間服務
13	金鐘（添馬街）	⇄	旭龢道	
15	中環（5號碼頭）	⇄	山頂	
15B	灣仔（會展新翼）	⇄	山頂	只限星期日及公眾假期服務
15C	中環（天星碼頭）	⇄	花園道（山頂纜車總站）	
18	北角（健康中街）	⇄	堅尼地城（卑路乍灣）	平日早上班次以上環為終點站
18P	堅尼地城（卑路乍灣）	⇄	北角（健康中街）	只限平日上午繁忙時間服務
18X	筲箕灣	⇄	堅尼地城（卑路乍灣）	
23	蒲飛路	⇄	北角碼頭	
23B	寶馬山	→	羅便臣道	只限平日繁忙時間服務
23B	寶馬山	←	柏道	只限平日繁忙時間服務
23X	蒲飛路	→	西灣河（太康街）	只限平日上午繁忙時間服務
25	中環3號碼頭	↺	寶馬山	
26	勵德邨	↺	荷李活道	
30X	數碼港	⇄	金鐘（東）	
33X	數碼港	→	西灣河（太康街）	只限平日繁忙時間服務
33X	數碼港	←	西灣河（嘉亨灣）	只限平日繁忙時間服務
37A	置富花園	↺	中環	
37B	置富花園	↺	中環（怡和大廈）	
37X	置富花園	↺	中環（怡和大廈）	只限平日上午繁忙時間服務
40	華富（北）	⇄	會展站	
40M	華富（北）	→	會展站	
40P	華富（北）	→	羅便臣道	只限星期一至五上課日早上時間服務
43M	田灣	↺	石塘咀	
