name,address,price,foot,footprice,district,"tag"
君珀中層A室,堅尼地道4號,9800,1753,55904,中半山,"分層單位
大廈"
帝景園4座高層A室,舊山頂道17-23號,8200,1513,54196,中半山,"分層單位
大廈
有寵屋苑"
騰皇居II高層C室,地利根德里10A號,6200,1282,48361,中半山,"分層單位
大廈"
君珀低層B室,堅尼地道4號,7000,1452,48209,中半山,"分層單位
大廈"
騰皇居II低層B室,地利根德里10A號,5500,1236,44498,中半山,"分層單位
大廈"
好利閣高層A室,舊山頂道6號,9800,2272,43133,中半山,"分層單位
大廈
露台"
騰皇居II低層A室,地利根德里10A號,13000,3040,42763,中半山,"相鄰單位
大廈"
堅麗閣高層A室,堅尼地道10-18號,12200,2929,41652,中半山,"分層單位
大廈"
嘉富麗苑2座中層B室,梅道12號,6500,1562,41613,中半山,"分層單位
大廈"
帝景園1座低層B室,舊山頂道17-23號,7500,1806,41528,中半山,"分層單位
大廈
有寵屋苑"
好利閣高層B室,舊山頂道6號,9300,2270,40969,中半山,"分層單位
大廈
露台"
蔚皇居高層B室,梅道11號,4380,1071,40896,中半山,"分層單位
大廈"
地利根德閣3座低層C室,地利根德里14號,9500,2361,40237,中半山,"分層單位
大廈
有寵屋苑"
騰皇居II低層B室,地利根德里10A號,4900,1236,39644,中半山,"分層單位
大廈
連租約"
御花園2座高層B室,堅尼地道9A號,8600,2187,39323,中半山,"複式單位
大廈"
寶雲閣中層A室,寶雲道11A號,5658,1445,39155,中半山,"分層單位
大廈
露台
連租約"
地利根德閣3座中層D室,地利根德里14號,9380,2407,38969,中半山,"分層單位
大廈
有寵屋苑"
曉峰閣4座中層A室,舊山頂道18號,4200,1083,38781,中半山,"分層單位
大廈
有寵屋苑"
地利根德閣3座中層A室,地利根德里14號,6000,1582,37926,中半山,"分層單位
大廈
有寵屋苑"
嘉慧園低層A座,馬己仙峽道,11800,3113,37905,中半山,"分層單位
大廈
露台
車位"
嘉富麗苑2座低層C室,梅道12號,6000,1588,37783,中半山,"分層單位
大廈"
嘉富麗苑2座低層B室,梅道12號,5890,1562,37708,中半山,"分層單位
大廈"
帝景閣高層C室,堅尼地道3號,3180,856,37149,中半山,"分層單位
大廈"
MayTower1座中層2室,梅道7號,8100,2218,36519,中半山,"分層單位
大廈"
曉峰閣1座高層C室,舊山頂道18號,5680,1602,35455,中半山,"分層單位
大廈
有寵屋苑
平台
天台
車位"
愛都大廈1座高層A室,花園道55號,10200,2888,35318,中半山,"分層單位
大廈
有寵屋苑
露台
車位"
MayTower1座低層2室,梅道7號,8000,2278,35118,中半山,"分層單位
大廈
露台"
堅尼地道36A號,堅尼地道,4200,1209,34739,中半山,"分層單位
大廈"
蔚皇居低層B室,梅道11號,3450,995,34673,中半山,"分層單位
大廈"
嘉富麗苑2座低層C室,梅道12號,5500,1588,34634,中半山,"分層單位
大廈"
愛都大廈1座高層B室,花園道55號,10000,2888,34626,中半山,"分層單位
大廈
有寵屋苑
露台
車位"
愛都大廈1座中層A室,花園道55號,10000,2888,34626,中半山,"分層單位
大廈
有寵屋苑"
地利根德閣3座低層A室,地利根德里14號,5300,1547,34259,中半山,"分層單位
大廈
有寵屋苑"
曉峰閣3座高層A室,舊山頂道18號,2200,657,33485,中半山,"分層單位
大廈
有寵屋苑"
嘉富麗苑2座低層B室,梅道12號,5200,1562,33290,中半山,"分層單位
大廈"
堅尼地道中層A室,堅尼地道,7400,2240,33035,中半山,"分層單位
大廈"
花園台2號(2座)低層B室,舊山頂道8A號,8400,2580,32558,中半山,"分層單位
大廈
露台"
曉峰閣2座低層B室,舊山頂道18號,2000,625,32000,中半山,"分層單位
大廈
有寵屋苑"
寶雲道高層5F號(B室),寶雲道,4500,1414,31824,中半山,"分層單位
大廈"
纜車徑A座,纜車徑,2688,858,31332,中半山,"分層單位
大廈"
羅便臣道1號低層G室,羅便臣道1號,8000,2626,30464,中半山,"分層單位
大廈"
曉峰閣2座低層A室,舊山頂道18號,2000,657,30441,中半山,"分層單位
大廈
有寵屋苑
連租約"
